complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0301,65951883,black,male,1600 16TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0301,37322198,black,female,1600 16TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0301,36817514,white,male,1600 16TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0302,76071664,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0303,34910013,white,male,0200 02ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0304,85068952,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0304,85068952,white,male,1200 12TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0304,85068952,white,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0304,52020017,white,male,1200 12TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0304,52020017,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0304,52020017,white,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0305,95517808,black,female,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0305,95517808,black,female,3500 35TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0306,22224923,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0307,77723733,white,male,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
15-0307,83356801,black,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0307,97901155,white,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0307,94309999,black,female,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
15-0307,70470182,latino,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0307,60706254,asian,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0308,76071664,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0308,96096994,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0309,70765954,white,male,2600 26TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0309,70765954,white,male,2600 26TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
